milp_id,source,data_dir,n_instances,file,generator_class,all_classes,objective_sense,vtypes,mentions_ecole,has_cover_ge1,has_pack_le1,has_pairwise_conflict,has_knapsack_cap,has_quicksum,param_keys,density,coarse_family
999000,algorithm,MILP-Evolve/language_data_example/tab1/data/milp_999000-algorithm,10,MILP-Evolve/language_data_example/tab1/code/milp_999000-algorithm.py,Graph,"Graph,IndependentSet",maximize,B,True,False,False,False,False,True,"erdos_renyi,barabasi_albert,graph,inequalities,__main__,n_nodes,edge_probability,affinity,graph_type",0.0026748105417939145,other
999001,algorithm,MILP-Evolve/language_data_example/tab1/data/milp_999001-algorithm,10,MILP-Evolve/language_data_example/tab1/code/milp_999001-algorithm.py,SetCover,SetCover,minimize,B,True,True,False,False,False,True,"c,indptr_csr,indices_csr,__main__,n_rows,n_cols,density,max_coef",0.05,covering-like
999002,algorithm,MILP-Evolve/language_data_example/tab1/data/milp_999002-algorithm,10,MILP-Evolve/language_data_example/tab1/code/milp_999002-algorithm.py,CapacitatedFacilityLocation,CapacitatedFacilityLocation,minimize,BC,True,False,False,False,False,True,"demands,capacities,fixed_costs,transportation_costs,__main__,n_customers,n_facilities,demand_interval,capacity_interval,fixed_cost_scale_interval,fixed_cost_cste_interval,ratio,continuous_assignment",0.00039017723946691306,other
999003,algorithm,MILP-Evolve/language_data_example/tab1/data/milp_999003-algorithm,10,MILP-Evolve/language_data_example/tab1/code/milp_999003-algorithm.py,CombinatorialAuction,CombinatorialAuction,maximize,B,False,False,False,False,False,True,"bids,bids_per_item,__main__,n_items,n_bids,min_value,max_value,value_deviation,additivity,add_item_prob,budget_factor,resale_factor,max_n_sub_bids",0.0701968771215207,other
999004,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999004-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999004-gpt-4o.py,SetCover,SetCover,,B,False,True,False,False,True,True,"c,indptr_csr,indices_csr,weights,overlaps,__main__,n_rows,n_cols,density,max_coef,max_weight,max_overlap,capacity,max_num_overlaps",0.09119798608026063,other
999005,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999005-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999005-gpt-4o.py,EnhancedSetCover,EnhancedSetCover,minimize,B,False,True,False,False,False,True,"c,indptr_csr,indices_csr,capacities,rows_critical,__main__,n_rows,n_cols,density,max_coef,max_capacity,critical_row_fraction",0.05,covering-like
999006,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999006-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999006-gpt-4o.py,ShiftScheduling,ShiftScheduling,minimize,B,False,False,False,False,False,True,"shift_requirements,worker_availability,worker_capacity,cost,__main__,n_workers,n_shifts,availability_prob,max_shift_requirement,max_worker_capacity,max_cost",0.025,other
999007,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999007-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999007-gpt-4o.py,CombinatorialAuction,CombinatorialAuction,maximize,B,False,False,True,False,False,True,"bids,bids_per_item,dependency_pairs,__main__,n_items,n_bids,min_value,max_value,value_deviation,additivity,add_item_prob,budget_factor,resale_factor,max_n_sub_bids",0.0638835726493977,packing-like
999008,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999008-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999008-gpt-4o.py,ProductionScheduling,ProductionScheduling,minimize,BC,False,False,False,False,False,True,"production_demand,worker_availability,production_capacity,worker_costs,__main__,n_products,n_workers,n_shifts,min_demand,max_demand,min_avail,max_avail,min_capacity,max_capacity,min_cost,max_cost",0.12857142857142856,other
999009,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999009-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999009-gpt-4o.py,ProductionScheduling,ProductionScheduling,maximize,B,False,False,False,False,False,True,"labor_time,worker_productivity,machine_capacity,__main__,num_workers,num_machines,max_labor_time",0.03333333333333333,other
999010,gpt-4o,MILP-Evolve/language_data_example/tab1/data/milp_999010-gpt-4o,10,MILP-Evolve/language_data_example/tab1/code/milp_999010-gpt-4o.py,CombinatorialAuction,CombinatorialAuction,minimize,C,False,False,False,False,False,True,"values,demands,supply,costs,__main__,n_items,n_bids,min_value,max_value,value_deviation,additivity,add_item_prob,budget_factor,resale_factor,max_n_sub_bids",0.0033333333333333335,other
